 Date,XLV Close
4/9/2020,94.83
4/8/2020,94.31
4/7/2020,90.58
4/6/2020,91.33
4/3/2020,86.78
4/2/2020,87.57
4/1/2020,85.21
3/31/2020,88.58
3/30/2020,88.97
3/27/2020,84.99
3/26/2020,86.85
3/25/2020,81.44
3/24/2020,80.37
3/23/2020,74.62
3/20/2020,79.09
3/19/2020,82.25
3/18/2020,83.97
3/17/2020,86.85
3/16/2020,81.72
3/13/2020,90.66
3/12/2020,84.78
3/11/2020,91.62
3/10/2020,95.26
3/9/2020,92.1
3/6/2020,97.15
3/5/2020,97.67
3/4/2020,99.99
3/3/2020,94.54
3/2/2020,96.95
2/28/2020,92.61
2/27/2020,93.82
2/26/2020,97.12
2/25/2020,97.13
2/24/2020,100.17
2/21/2020,103.43
2/20/2020,103.37
2/19/2020,104.04
2/18/2020,103.56
2/14/2020,103.93
2/13/2020,103.85
2/12/2020,104.34
2/11/2020,104.21
2/10/2020,103.59
2/7/2020,103.04
2/6/2020,103.85
2/5/2020,103.76
2/4/2020,101.8
2/3/2020,100.04
1/31/2020,99.14
1/30/2020,101.16
1/29/2020,101.9
1/28/2020,102.18
1/27/2020,101.68
1/24/2020,102.46
1/23/2020,104.2
1/22/2020,104.73
1/21/2020,104.6
