 Date,CL1 Close
4/9/2020,23.24
4/8/2020,25.09
4/7/2020,23.63
4/6/2020,26.08
4/3/2020,28.34
4/2/2020,25.32
4/1/2020,20.31
3/31/2020,20.48
3/30/2020,20.1
3/27/2020,21.51
3/26/2020,22.6
3/25/2020,24.32
3/24/2020,24.1
3/23/2020,23.36
3/20/2020,22.63
3/19/2020,25.22
3/18/2020,20.37
3/17/2020,26.86
3/16/2020,28.57
3/13/2020,32.9
3/12/2020,30.99
3/11/2020,33.11
3/10/2020,34.78
3/9/2020,30.21
3/6/2020,41.56
3/5/2020,45.89
3/4/2020,47.06
3/3/2020,47.25
3/2/2020,46.77
2/28/2020,44.76
2/27/2020,47.09
2/26/2020,48.73
2/25/2020,49.9
2/24/2020,51.43
2/21/2020,53.44
2/20/2020,53.78
2/19/2020,53.29
2/18/2020,52.05
2/17/2020,52.42
2/14/2020,52.05
2/13/2020,51.42
2/12/2020,51.17
2/11/2020,49.94
2/10/2020,49.57
2/7/2020,50.38
2/6/2020,50.95
2/5/2020,50.75
2/4/2020,49.61
2/3/2020,50.11
1/31/2020,51.53
1/30/2020,52.14
1/29/2020,53.33
1/28/2020,53.48
1/27/2020,53.14
1/24/2020,54.49
1/23/2020,55.59
1/22/2020,56.31
1/21/2020,58.37
